t,coherence,reward,collapse_event,node_0_x,node_0_y,node_1_x,node_1_y,node_2_x,node_2_y,node_3_x,node_3_y,node_4_x,node_4_y,node_5_x,node_5_y,node_6_x,node_6_y,node_7_x,node_7_y,node_8_x,node_8_y,node_9_x,node_9_y,node_10_x,node_10_y,node_11_x,node_11_y
382,0.704116210248714,-0.29588378975128604,0,0.26119908608861664,0.6036149138388391,0.25255279297957867,0.5996495516514373,0.2777553847013969,0.6107574896400315,0.2863937229438872,0.5909372023059164,0.278964438907749,0.5959885011066267,0.28431325659079343,0.6046880570584809,0.26936041669395216,0.6147660349464038,0.2924878113139994,0.6059844695965596,0.2841118584034486,0.5973006681968137,0.28742388007028286,0.5929184505505242,0.27660293104073763,0.6153457416775489,0.2959529702415041,0.5988894024484755
383,0.6951445055660391,-0.30485549443396087,0,0.26654175585324225,0.6029920413768152,0.25486441628527096,0.5995589590163827,0.28214240497149645,0.6061089644382586,0.2860315610965128,0.5933883686170486,0.2818816096381504,0.5971477645383103,0.28813309849403473,0.6090020706869692,0.26548191538275684,0.6131799406070709,0.2870443382570774,0.6041079147030496,0.28422127495454863,0.6016720861046461,0.2904645565829892,0.5896760273022914,0.27264941552767613,0.6155996299938117,0.2954228287455831,0.5967372107529256
384,0.6950863427732693,-0.3049136572267307,0,0.27118786213857404,0.6072376491448298,0.25512597308686463,0.6036055823789387,0.28085343689800696,0.6082932302768825,0.28546806844961997,0.5900663274935078,0.28604553440106867,0.5969528879874101,0.29004997720501263,0.6073452510391736,0.2613752916318369,0.6086477929058757,0.2866329793715784,0.6059237082814006,0.28233622770506955,0.6036649121334302,0.29190634788061487,0.592353130752695,0.272920826523953,0.619090055737576,0.2945223157205657,0.5965245478924857
385,0.7078695857114434,-0.2921304142885566,0,0.2686157140593048,0.6051177553779192,0.25178645619525764,0.604926094012921,0.2782895593299307,0.6060855591246606,0.2878962470813354,0.5890006607672145,0.28315865343869984,0.5939612588961442,0.2922894992041348,0.6034404888838827,0.2618375014903018,0.6084501422381213,0.2881686663674098,0.6071257955074281,0.285320059886821,0.5990946186827886,0.2892688745719313,0.5907022532195816,0.2697283910912296,0.6161927733060292,0.29188728991351964,0.5970826029339037
386,0.6920336683917694,-0.3079663316082306,0,0.2707730019482266,0.6037611227574355,0.25534286450125304,0.6031296927103649,0.27622894693920624,0.606281411739292,0.282689627132951,0.5854367689774879,0.2821314450052546,0.5987805730775486,0.29384117084498673,0.5992379801469883,0.26615983534621995,0.6104388928445912,0.28882072710869033,0.6100606853504426,0.284046184172534,0.5964431482694819,0.2888766935370468,0.5917438081268314,0.2705762640593917,0.616122122567823,0.29573100340285996,0.601339179030465
387,0.6945545992840354,-0.3054454007159646,0,0.2749715962330656,0.6066821321686449,0.26099007636550414,0.5990530519316355,0.27404880622336425,0.606012798048868,0.2860005647241984,0.5863114850838356,0.2844852941650687,0.5953260409161552,0.2906533244491639,0.6016887395300103,0.26347925768444713,0.6085254049889057,0.28600842734805243,0.60815116546514,0.28590718947134797,0.5953943601074306,0.2889655661029348,0.5882508339310287,0.27407770180542934,0.6141098001359079,0.2964098688397113,0.6036210135355549
388,0.6930954185535372,-0.3069045814464628,0,0.27234461594841386,0.6102494705174257,0.263127805369183,0.5984423458602481,0.27119470805386275,0.6101898626331164,0.28827620883518923,0.5841308515646559,0.28266312750994205,0.5987111765589078,0.29210242516474366,0.6043168405883467,0.26374229612823863,0.6103185924735618,0.2845979335151735,0.6049109314689447,0.2869635906520787,0.6004394764657267,0.28664828781762586,0.5885026832642823,0.27613882073174095,0.613874068058017,0.2990486436607008,0.6061120850311519
389,0.6835625101525481,-0.3164374898474519,0,0.2683388924537288,0.6148470359328104,0.26652397490203056,0.6022850883321952,0.2731754850362351,0.6133690473839465,0.2840147634068289,0.5835275139440346,0.28632271583460195,0.5959179964456496,0.28730826015641875,0.6071080145603998,0.2679385781423717,0.606555011633801,0.28794003193135403,0.6066588894534874,0.2868447732157527,0.6038458311722725,0.2855369011840463,0.5861433152653205,0.2742089417253721,0.6133578314400676,0.29843805466850953,0.608988115646025
390,0.6916600716339271,-0.30833992836607294,0,0.27186293912030424,0.6150958650882574,0.27003309504332235,0.5992660838785638,0.26904482010809483,0.6166144486211379,0.2795970342268537,0.5819955379243146,0.28798723359185424,0.5953940913796819,0.29073345090049146,0.6049099271590441,0.2636878267546853,0.60441133283776,0.2883512448793732,0.6052628441148877,0.28687872616529114,0.6075970361820509,0.2894123707198862,0.5846734055286373,0.27414736342454105,0.6133588954005205,0.3020347405567051,0.6137023984354093
391,0.7049029612833676,-0.2950970387166324,0,0.2696812431755851,0.6167870449912621,0.26936912943636904,0.5945600360974572,0.26474248284992996,0.615565560709663,0.27955791016843523,0.5782976324377928,0.2895145246028854,0.5937405951406068,0.29085308789370723,0.6028497959767055,0.26123215708852493,0.6034386780258203,0.2853137948061904,0.6055238861222945,0.28358045368277224,0.607477418583354,0.2855729158554614,0.5873256567910228,0.27703675062060906,0.6089710674169532,0.3006684061721241,0.608902169964147
392,0.6931292226764677,-0.3068707773235323,0,0.27116701737369503,0.6136894004804,0.2701649294344068,0.5951043091458318,0.2697369140708406,0.6153757796592715,0.28039801135866577,0.5784969468329514,0.29351760630603846,0.5969230892373771,0.2881524983035194,0.606247066795037,0.26148252473741873,0.6066510803192697,0.28826499765028507,0.6022340584432128,0.2854008542139385,0.6051076421066561,0.28325720866408416,0.5860205194796819,0.2794286074666472,0.6059184392234354,0.2946320561174479,0.6107070947601705
393,0.6951792291858608,-0.30482077081413916,0,0.268343860717099,0.6091434020198054,0.2680551909423645,0.5942417465221143,0.27003247841576805,0.6101463386937813,0.28510719089074354,0.5818263776358464,0.2910970134177173,0.5953575549587093,0.2872536456557655,0.6072908092932626,0.2588954759401749,0.6033014720513028,0.2914694403698438,0.5997785523702899,0.2839561082567308,0.6086586261211716,0.2847491732986156,0.5852302599094618,0.2813175193242985,0.6009129970264248,0.29628022668542664,0.6101355480376714
394,0.6848852594156752,-0.31511474058432476,0,0.27208581133706594,0.6132577071248791,0.27293763907316926,0.5986474083165613,0.2706798762372958,0.6082655415864809,0.28452950677649036,0.5846591174731871,0.3010970134177149,0.5953575479853016,0.29110021714057155,0.6101031698342977,0.2647665844779258,0.6069640148675539,0.28872266383124795,0.5958742825512152,0.2799080357467874,0.6061630266868951,0.2856808740565075,0.5890370488609598,0.2852714686108765,0.6021299797047952,0.29054985066161315,0.6065170370869726
395,0.6894355886212312,-0.3105644113787688,0,0.2685926558977766,0.6112987993663216,0.27341814014487853,0.5942197425285151,0.2697445352724178,0.6047147940954064,0.2858876061892849,0.5851396181347674,0.3001092123051985,0.5949373213083674,0.30110021714056934,0.6101031631660236,0.2658087709414985,0.6090467206498258,0.28896884786006144,0.6004415101228188,0.27880619060489115,0.6055623662522784,0.2813959265948597,0.5907459203704273,0.283003887953844,0.5986973039567074,0.29058154414660786,0.6065850207084194
396,0.6946060320581581,-0.3053939679418419,0,0.2650359792445111,0.6127638984356997,0.275099194773526,0.5914468127323038,0.2700658968597202,0.6067301680581711,0.2860018230146163,0.5848854124926143,0.2974413760001309,0.596342278412139,0.30455053299602614,0.6113633379152468,0.2558087709414985,0.6090467200989412,0.29254288651154753,0.5964119433774382,0.2838688779254049,0.6098228263788682,0.27722311480179834,0.5955906420591509,0.2815992591881293,0.6022574149323802,0.289350540045793,0.605712205302773
397,0.689497994361676,-0.310502005638324,0,0.2672040622433222,0.6149637012908233,0.27075957759559344,0.5928992556351088,0.26750738300896915,0.6049463784180434,0.2842588695766989,0.5854249688543439,0.2949881223701473,0.5926919992601877,0.2998567447827406,0.6062227744592442,0.2567982742989724,0.6132320846266729,0.2881499454737126,0.601147214722746,0.2860865002277168,0.6107998966734153,0.2788921876662053,0.5991716100243051,0.2776659459237823,0.6022853110055655,0.29093137547737224,0.6063880230725188
398,0.6872314884330749,-0.3127685115669251,0,0.2711845622940775,0.6100639550582414,0.2731415215634939,0.5937202918990463,0.2669365349510086,0.6032275310613273,0.28526716487829434,0.5901893958999151,0.2942133879653396,0.5964303526797933,0.2978983838147317,0.6020613021060595,0.25358633040129863,0.6082095458504218,0.28655686207229214,0.5995879532368129,0.2879744579052451,0.6128138385974389,0.2744690304239209,0.5965499838938257,0.27553817958187066,0.602772887038561,0.2868428713952616,0.6025337558547387
399,0.6916375160291972,-0.3083624839708028,0,0.27603659510164835,0.6126784563498746,0.27026436653642605,0.5931756253547164,0.266119300226229,0.6060518652204825,0.285079307829356,0.5870340934464214,0.29586601122883016,0.5956533847996203,0.29460607913051173,0.6007888931925311,0.2548579515474978,0.6063058936936382,0.2836214487247903,0.5986692458345795,0.282740836147677,0.6149737951000975,0.27142839986859585,0.5922372008070083,0.27727162956202306,0.6054492739464371,0.2896123911716221,0.6024178298601751
400,0.6870026267338895,-0.31299737326611055,0,0.2732363818479458,0.6144811251282357,0.2726962136356281,0.5910438662513688,0.27079534742802547,0.6018573013636432,0.28960015948828144,0.5913491817072316,0.29689963177665946,0.6003225292657942,0.29604682151170325,0.5977183333265617,0.25548455000573106,0.6017699440756292,0.28228488516591194,0.6012161285635792,0.28141616250408136,0.6125923619231306,0.2727584717547492,0.5964117008800034,0.2728318146638631,0.6040958294194692,0.2856621136856736,0.6043147956978416
401,0.693592442387331,-0.306407557612669,0,0.26958894399931094,0.6154767010309701,0.27088034730127686,0.5885523956495163,0.2755762412743251,0.5970212366362644,0.2884550598722141,0.5870695471198316,0.29584771630832085,0.6003884311537924,0.2934182407895166,0.5942255890088275,0.2554313335222403,0.6034756308445172,0.284951734633512,0.6015343827326254,0.2822008339627259,0.6090404621115643,0.2709509871387393,0.5932816265098705,0.2706403130701671,0.6012114603240947,0.2855306315047534,0.6047974980442006
402,0.6967322272888025,-0.30326777271119754,0,0.27449010593829837,0.6116422181219621,0.2726842219685659,0.592281014228441,0.27633097877917734,0.5947038570009873,0.28558894410954133,0.5830922459660753,0.29304090768912755,0.6027986920576619,0.2881536412528498,0.5916909080549597,0.258653226762184,0.6061120106020453,0.2841884669331936,0.603422052652306,0.28090144888187646,0.6051712171277527,0.2703160676477693,0.5944008690579337,0.2755199651659256,0.596822042500302,0.28525917579870325,0.6028304665956231
403,0.697748941867271,-0.302251058132729,0,0.27478674737968045,0.6062372266644879,0.27111829421268346,0.5958030099671476,0.2769918769742949,0.5944118540539576,0.2831027774167477,0.5818554238705437,0.29115790643610706,0.605951829529283,0.2923561210538201,0.591430281440574,0.25859212360708245,0.6092092828050002,0.283186126588427,0.6037084967175057,0.27810382287930013,0.6072850466040144,0.2710581772436187,0.5977085360822989,0.27848932400344606,0.5940683530328458,0.28709060230987576,0.6056268523202142
404,0.6832477749628318,-0.31675222503716816,0,0.2734502903356249,0.6026235239314857,0.2665305089749497,0.5954939634709212,0.2756084183580731,0.5952124271607132,0.2797698573889027,0.5863313756248807,0.2881193711876873,0.6028906015748947,0.29148726348307713,0.5918193450771875,0.25675517763168376,0.6064394934032088,0.2796656805676626,0.6056797411360616,0.28084132996498046,0.606516146719606,0.2735879465253924,0.6001545306687579,0.27488942099715635,0.5989987831007483,0.2898881995824508,0.6023624117873612
